title,year,duration,genre,rating,movie_url
Hara-Kiri ,1962,"2h 13min",Action,8.6,https://www.imdb.com/title/tt0056058/
It's a Wonderful Life ,1946,"2h 10min",Drama,8.6,https://www.imdb.com/title/tt0038650/
The Intouchables ,2011,"1h 52min",Biography,8.5,https://www.imdb.com/title/tt1675434/
The Silence of the Lambs ,1991,"1h 58min",Crime,8.6,https://www.imdb.com/title/tt0102926/
Whiplash ,2014,"1h 46min",Drama,8.5,https://www.imdb.com/title/tt2582802/
The Shawshank Redemption ,1994,"2h 22min",Drama,9.3,https://www.imdb.com/title/tt0111161/
Life Is Beautiful ,1997,"1h 56min",Comedy,8.6,https://www.imdb.com/title/tt0118799/
Se7en ,1995,"2h 7min",Crime,8.6,https://www.imdb.com/title/tt0114369/
City of God ,2002,"2h 10min",Crime,8.6,https://www.imdb.com/title/tt0317248/
The Green Mile ,1999,"3h 9min",Crime,8.6,https://www.imdb.com/title/tt0120689/
Saving Private Ryan ,1998,"2h 49min",Drama,8.6,https://www.imdb.com/title/tt0120815/
Hamilton ,2020,"2h 40min",Biography,8.6,https://www.imdb.com/title/tt8503618/
The Lives of Others ,2006,"2h 17min",Drama,8.4,https://www.imdb.com/title/tt0405094/
Interstellar ,2014,"2h 49min",Adventure,8.6,https://www.imdb.com/title/tt0816692/
Parasite ,2019,"2h 12min",Comedy,8.6,https://www.imdb.com/title/tt6751668/
3 Idiots ,2009,"2h 50min",Comedy,8.4,https://www.imdb.com/title/tt1187043/
Dangal ,2016,"2h 41min",Action,8.4,https://www.imdb.com/title/tt5074352/
Como Estrelas na Terra ,2007,"2h 45min",Drama,8.4,https://www.imdb.com/title/tt0986264/
Your Name. ,2016,"1h 46min",Animation,8.4,https://www.imdb.com/title/tt5311514/
Django Unchained ,2012,"2h 45min",Drama,8.4,https://www.imdb.com/title/tt1853728/
Capernaum ,2018,"2h 6min",Drama,8.4,https://www.imdb.com/title/tt8267604/
City Lights ,1931,"1h 27min",Comedy,8.5,https://www.imdb.com/title/tt0021749/
Modern Times ,1936,"1h 27min",Comedy,8.5,https://www.imdb.com/title/tt0027977/
Avengers: Endgame ,2019,"3h 1min",Action,8.4,https://www.imdb.com/title/tt4154796/
Vikram Vedha ,2017,"2h 27min",Action,8.4,https://www.imdb.com/title/tt6148156/
Casablanca ,1942,"1h 42min",Drama,8.5,https://www.imdb.com/title/tt0034583/
Cinema Paradiso ,1988,"2h 35min",Drama,8.5,https://www.imdb.com/title/tt0095765/
Léon: The Professional ,1994,"1h 50min",Action,8.5,https://www.imdb.com/title/tt0110413/
American History X ,1998,"1h 59min",Drama,8.5,https://www.imdb.com/title/tt0120586/
Gladiator ,2000,"2h 35min",Action,8.5,https://www.imdb.com/title/tt0172495/
The Lion King ,1994,"1h 28min",Animation,8.5,https://www.imdb.com/title/tt0110357/
The Pianist ,2002,"2h 30min",Biography,8.5,https://www.imdb.com/title/tt0253474/
Grave of the Fireflies ,1988,"1h 29min",Animation,8.5,https://www.imdb.com/title/tt0095327/
The Departed ,2006,"2h 31min",Crime,8.5,https://www.imdb.com/title/tt0407887/
The Prestige ,2006,"2h 10min",Drama,8.5,https://www.imdb.com/title/tt0482571/
One Flew Over the Cuckoo's Nest ,1975,"2h 13min",Drama,8.7,https://www.imdb.com/title/tt0073486/
Goodfellas ,1990,"2h 26min",Biography,8.7,https://www.imdb.com/title/tt0099685/
The Lord of the Rings: The Two Towers ,2002,"2h 59min",Action,8.7,https://www.imdb.com/title/tt0167261/
Forrest Gump ,1994,"2h 22min",Drama,8.8,https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Fellowship of the Ring ,2001,"2h 58min",Action,8.8,https://www.imdb.com/title/tt0120737/
Schindler's List ,1993,"3h 15min",Biography,8.9,https://www.imdb.com/title/tt0108052/
Fight Club ,1999,"2h 19min",Drama,8.8,https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Return of the King ,2003,"3h 21min",Action,8.9,https://www.imdb.com/title/tt0167260/
12 Angry Men ,1957,"1h 36min",Crime,9.0,https://www.imdb.com/title/tt0050083/
The Godfather ,1972,"2h 55min",Crime,9.2,https://www.imdb.com/title/tt0068646/
The Dark Knight ,2008,"2h 32min",Action,9.0,https://www.imdb.com/title/tt0468569/
Pulp Fiction ,1994,"2h 34min",Crime,8.9,https://www.imdb.com/title/tt0110912/
Seven Samurai ,1954,"3h 27min",Action,8.6,https://www.imdb.com/title/tt0047478/
The Godfather: Part II ,1974,"3h 22min",Crime,9.0,https://www.imdb.com/title/tt0071562/
Joker ,2019,"2h 2min",Crime,8.5,https://www.imdb.com/title/tt7286456/
